TEXT,processed_text,SENTIMENT
"The roads, around KLIA buildings, are lighted very dim. The exits and entrances to building parking ramp are poorly lighted.",road around building light dim exit entrance build parking ramp poorly light,Negative
"My flight was delayed by 2 hours and that wasnt even the worst part. I missed my flight because they didnt announce that the plane was leaving (i was at 7/11 eating because i was hungry) so when i went back to check, there was no one there.",flight delay 2 hour wasnt even bad part miss flight didnt announce plane leave 711 eating hungry go back check one,Negative
So bad 1 people check in 30 minutes The staff works very slowly Made me miss my flight and unable to check in even though I went to check in 2 hours before,bad 1 people check 30 minute staff work slowly make miss flight unable check even though go check 2 hour,Negative
"It is a world famous airport, and has multiple connectivity to go to different countries. But very normal( or less) facilities and without Money Transfer store at L10-L20 gates. I was very disappointed with these at these gates. There should be improvement.",world famous airport multiple connectivity go different country normal less facility without money transfer store l10l20 gate disappointed gate improvement,Negative
inside are allllll ok but the outside sucks especially the arrival hall. some cars parked without drivers on the left lane and causing traffic jams to the other two lanes. please do something to cars that park on the left lane. so selfish. tolong la tunggu kat tempat lain dulu. security only ask to go foward to the other two lane but did not ask left lane to move foward.,inside allllll ok outside suck especially arrival hall car park without driver left lane cause traffic jam two lane please something car park left lane selfish tolong la tunggu kat tempat lie dulu security ask go foward two lane ask leave lane move foward,Negative
"not convenient to collect luggage if travelers are at the international flight building, as travelers have to take train to domestic flight building to retrieve their luggages which felt wasting of time, it should have a better solution and design to combine for both the domestic and international travelers.",convenient collect luggage traveler international flight building traveler take train domestic flight building retrieve luggage felt wasting time good solution design combine domestic international traveler,Negative
"A five-hour break costs 1,700 yuan, so Id better just eat a 23-yuan bowl of instant noodles. The cannellini noodles and fried rice inside are both very hard, so dont be offended. Only the curry chicken with white rice is the best, the others are just fine. MYR 245 is equal to NT$1,716, and MYR 1 is equal to NT$7. #We have to wait until 9am for the flight # unified pork noodles #Malaysia #Kuala Lumpur International Airport # VIP ROOM #Trust Xiong Dading Ji Card 2 people free 2025-02-16 (Sunday) 17:5022:05",fivehour break cost 1700 yuan id good eat 23yuan bowl instant noodle cannellini noodle fried rice inside hard dont offend curry chicken white rice best others fine myr 245 equal nt1716 myr 1 equal nt7 wait 9am flight unify pork noodle malaysia kuala lumpur international airport vip room trust xiong dading ji card 2 people free 20250216 sunday 17502205,Negative
To Entrance to Boarding Gate you have to walk a lot..And A bit difficult to find ways,entrance board gate walk lotand bit difficult find way,Negative
"I had the worst experience in this airport for travelling. This looks fancy but very old school. Restaurant not enough air con at night time. Sweating when eating Very confusing direction or procedure. I was required to transferred here from overseas to KKIA (domestic) i was not required to take my lugguage while I gone through the customs here. Then walked all the way from international to domestic from the international building. But then I was required to ""enter"" the Malaysia border again while I was in KKIA (I took domestic) with my checked in luggage and scanning my index fingers When i went back from KK to KL, I only required to go thru the custom once at KKIA. I was expecting to go thru the domestic building so I can get some local products. Then my hand luggage was required to go thru x ray just at the gate. My flask was full of water. But it was not required to empty out. And no airline staff at the gate just b4 boarding to check the boarding priority. As I thought I can walk thru, so I followed the sign. I realised I couldn't walk thru after 5 mins later. Then I walked back and realised the sign was directed incorrectly neat gate G section. One pointing left and the other sign pointed right. I saw few customers including aircrew staff were confused and didn't know which way to go. Further, the staff was staring at me while was brusing teeth at the washroom at 6am. I realised she's waiting to clean my spot after I finished brushing. She either come back rather than just staring at me. I felt so unconfmy and I was the only passenger there. I went other less modern airport like ho chi Ming city or in Istanbul. Where still have better experience than in Malaysia",bad experience airport travel look fancy old school restaurant enough air con night time sweat eat confusing direction procedure require transfer overseas kkia domestic require take lugguage go custom walk way international domestic international building require enter malaysia border kkia take domestic check luggage scan index finger go back kk kl require go thru custom kkia expect go thru domestic building get local product hand luggage require go thru x ray gate flask full water require empty airline staff gate b4 board check boarding priority think walk thru follow sign realise couldnt walk thru 5 min later walk back realise sign direct incorrectly neat gate g section one pointing left sign point right saw customer include aircrew staff confuse didnt know way go staff star brusing teeth washroom 6am realise shes wait clean spot finish brush either come back rather star felt unconfmy passenger go less modern airport like ho chi ming city istanbul still good experience malaysia,Negative
"I would like to give 0 out of 5 stars but cannot give to it.The toilet staff in KLIA 1(malay lady) besides costa coffee make me feel mad.A cleaner there,Hope that can fired she.I am a travelers and when I using toilet she mcm marah marah tak mau kerja.if u don't want to work better u stay at home right?",would like give 0 5 star give itthe toilet staff 1malay lady besides costa coffee make feel mada clean therehope fire shei traveler use toilet mcm marah marah tak mau kerjaif u dont want work well u stay home right,Negative
"We went to terminal 2 to get our flights, very disappointed with Air Asia, they werent helpful at all! Despite having kids, still we were made to wait for so much time to check in our luggage, they kept directing us towards self check in but that wasnt working! When we addressed our issue to the staffs they werent friendly , we were made to wait for more than 45 mins just to check in 3 luggages! It wasnt crowded also! Also they charged so much if there is extra luggage! Very dissatisfied and Very poor Organization! Despite reaching the airport very much in advance, because of the inefficient Air Asia team, we were so delayed. Finally by the time we cleared immigration and security checks we barely had 15 mins before they closed the gates, we literally had to run all the way to bay L16 while carrying our kids and carry-on bags to catch the flight. Please dont book Air Asia if you happen to have extra luggage, better choose it only if you have carry-on bags less than 7kg, totally not kid friendly and not customer friendly as well!",go terminal 2 get flight disappointed air asia werent helpful despite kid still make wait much time check luggage keep direct u towards self check wasnt work address issue staff werent friendly make wait 45 min check 3 luggage wasnt crowd also also charge much extra luggage dissatisfied poor organization despite reach airport much advance inefficient air asia team delay finally time clear immigration security check barely 15 min close gate literally run way bay l16 carry kid carryon bag catch flight please dont book air asia happen extra luggage well choose carryon bag less 7kg totally kid friendly customer friendly well,Negative
"It's a gigantic airport, but unlike other mega-airports, it's not easy to find your way around. Fortunately, the police and airport staff are very friendly and helpful. But you have to be prepared for time and take things slowly. To board a domestic flight from an international airport, it took us almost an hour, including the transfer (by bus), then the elevator, then reprinting the boarding pass (because the previous one no longer worked), then finding the domestic flight exit, then going through carry-on baggage control (you have to remove all electronic devices from your backpack, unlike at other airports where they are checked inside your luggage). In a word, take your time and take your time!",gigantic airport unlike megaairports easy find way around fortunately police airport staff friendly helpful prepare time take thing slowly board domestic flight international airport take u almost hour include transfer bus elevator reprint boarding pas previous one longer work find domestic flight exit go carryon baggage control remove electronic device backpack unlike airport checked inside luggage word take time take time,Negative
"Actually, it shouldn't even get a star. The immigration queue is very long. Only a few counters are open and very slow. Almost missed the flight even though there was another hour before boarding time. The airport layout is also terrible and complicated. On the way there, I had to take a bus from the terminal building in the middle of the airport to the main passenger building. The wait was long and the walk was very far. The bathroom was dirty and smelled bad. The baggage check point in front of the gate was slow and unorganized.",actually shouldnt even get star immigration queue long counter open slow almost miss flight even though another hour boarding time airport layout also terrible complicate way take bus terminal building middle airport main passenger build wait long walk far bathroom dirty smell bad baggage check point front gate slow unorganized,Negative
"Exhausting.. you need to have at least a year of airport work experience to just transit through this airport. It took nearly 2 hrs from landing to sitting down at our gate. So much is automated, and very few staff members to help, so when something goes wrong - like when the self bag-drop off machine stops working.. with one of our bags halfway through the conveyor, we were left for ages, not knowing what to do. So many more hurdles to jump such as filling in an MDAC, yes, we were asked to fill it in on-line at Siem Reap, but thought it couldn't possibly be for us as so many 'mandatory' boxes were irrelevant to us. However, at the airport, they insisted we filled it in with a bunch of false information, i.e. the address where we would be staying (had to put in an they address provided.. which was the airport's address) a waste of time, as we felt we could miss our connecting flight. We also had to create our own baggage tags, then TWO separate baggage screenings - so unnecessary. So many options of queues without clear instructions, so many people, so much walking - it just seemed chaotic. It's not my favourite airport. If we weren't so tired.. we had been travelling all day, I would have said a pretty average airport.",exhaust need least year airport work experience transit airport take nearly 2 hr land sit gate much automate staff member help something go wrong like self bagdrop machine stop work one bag halfway conveyor leave age know many hurdle jump fill mdac yes ask fill online siem reap think couldnt possibly u many mandatory box irrelevant u however airport insist fill bunch false information ie address would stay put address provide airport address waste time felt could miss connect flight also create baggage tag two separate baggage screening unnecessary many option queue without clear instruction many people much walk seem chaotic favourite airport werent tired travel day would say pretty average airport,Negative
To be very frank. I just came from Singapore airport and back to malaysia. It is heaven and hell comparison. Why the management took for long to upgrade the train? I paid premier for MAS and I got s*** service from start to the end. I gotta wait 30 mins for my bus ride to the main terminal. What a joke.,frank come singapore airport back malaysia heaven hell comparison management take long upgrade train pay premier ma get service start end get ta wait 30 min bus ride main terminal joke,Negative
"Average airport, but pricey. Coffee, sandwich, travel necessities - be prepared to pay more. 2 coffees plus 2 sandwiches equaled almost RM120. At least there are some dispensers for free water. Boarding is very slow due to extra security checks at the gates. Plan at least another 30-40 minutes (the difference between the boarding time on your ticket vs the actual boarding time) for this second and very slow check. Once youre through this gate security check, theres a waiting area with no toilets and no water. So please take care is your needs BEFORE queueing for the gate security check. Second, the gate security check is hyper sensitive. My wifes passport - which she held in her hand - triggered it. They make you take off shoes and belts if those contain small metal bits. My empty laptop backpack went through the scanner twice and I have no idea why",average airport pricey coffee sandwich travel necessity prepare pay 2 coffee plus 2 sandwich equal almost rm120 least dispenser free water boarding slow due extra security check gate plan least another 3040 minute difference boarding time ticket v actual boarding time second slow check youre gate security check theres wait area toilet water please take care need queue gate security check second gate security check hyper sensitive wife passport hold hand trigger make take shoe belt contain small metal bit empty laptop backpack go scanner twice idea,Negative
Who knew that you have to take a bus to C gates give yourself enough time,know take bus c gate give enough time,Negative
It is usually tiring to transfer you by bus from one hall to another and you may make a mistake and you will be back outside because there is only one and two,usually tire transfer bus one hall another may make mistake back outside one two,Negative
"(Emerites specifically from KL).. KL is a beautiful airport, super clean, very convenient with English signs everywhere- with many options for drink and food land side before security - coffee, mcdonalds, taco bell and high end malaysian restaurants. NOTE: the few Emirates flights that leave from here, despite what you may read, have NO bag drop, have no kiosks to print your bag tag or boarding pass, and if you are checking a bag you have to stand in the forever line with people going to Dubai with 5 giant suitcases. Not having an Emirates bag drop or kiosk is ridiculous. NOTE: Terminal C gates - the entire terminal stinks of cigarettes and the none care security has for looking at carry ons is terrifying. Many didnt even look at the screens, they were too busy dillydallying.",emerites specifically kl kl beautiful airport super clean convenient english sign everywhere many option drink food land side security coffee mcdonalds taco bell high end malaysian restaurant note emirate flight leave despite may read bag drop kiosk print bag tag board pas check bag stand forever line people go dubai 5 giant suitcase emirates bag drop kiosk ridiculous note terminal c gate entire terminal stink cigarette none care security look carry ons terrify many didnt even look screen busy dillydally,Negative
Smoking area only in building C.,smoke area building c,Negative
You go through 2 securities and end up in area that says duty free. Bought 4 waters thinking i could bring on the plane (which were overpriced) and just before the gate there is another security and they say your not allowed to bring water through. Then you end up in a area with 1-2 shops with little option to buy drinks.,go 2 security end area say duty free buy 4 water think could bring plane overprice gate another security say allow bring water end area 12 shop little option buy drink,Negative
"Honestly, if I could give this airport a -1, I would. Very slow, very disorganised, awful attitude. Very lazy. Very rude and disrespectful. Will never return, nor use such airlines again! Absolutely disgusting!",honestly could give airport 1 would slow disorganised awful attitude lazy rude disrespectful never return use airline absolutely disgust,Negative
Cannot cope the capacity,cope capacity,Negative
"Beautiful but very far from the city, which you can reach by express train (about 11) or by taxi/grab (there is no Uber in Malaysia)",beautiful far city reach express train 11 taxigrab uber malaysia,Negative
"This was our arrival airport in Malaysia from Paris and our departure airport for Langkawi. It's about an hour from downtown Kuala Lumpur. I find that there are some areas where there aren't enough flight display screens. There aren't enough seats/chairs in the boarding areas, which makes it crowded. Everything is done differently from other well-known airports, and not for the better.",arrival airport malaysia paris departure airport langkawi hour downtown kuala lumpur find area arent enough flight display screen arent enough seatschairs boarding area make crowd everything do differently wellknown airport good,Negative
Good internet connection but very limited and friendly staff and there is limited seats for the people to sit. Sorry but an international airport should have enought seats,good internet connection limited friendly staff limited seat people sit sorry international airport enought seat,Negative
Not enough chairs near the gates before security check. Food is unusually expensive and of so-so quality.,enough chair near gate security check food unusually expensive soso quality,Negative
Have to take shuttle bus to get to my gate. No water dispenser after security gate. Have to wait until you get on the plane.,take shuttle bus get gate water dispenser security gate wait get plane,Negative
"This airport needs water dispensers after every security screening. If you must insist on screening at the gate, you must allow people to access free and drinkable water. I have been coming here for 20 years and still yet to see this small uplift.",airport need water dispenser every security screen must insist screen gate must allow people access free drinkable water come 20 year still yet see small uplift,Negative
"Worst airport Ive ever been at. When I landed I stood in line for 1,5 hours at immigration!! Landed in terminal 2 and my next flight was from terminal 1, the shuttle bus took 20-30 minutes. After I checked in for my next line I had to stand another hour to get thru immigration??? I almost missed my flight, my layover was 3,5-4 hours and I still had to run to the plane when it was boarding!! People working at the airport are not helpful. Very ineffective airport!! They need to get more people at work.",bad airport ive ever land stood line 15 hour immigration land terminal 2 next flight terminal 1 shuttle bus take 2030 minute check next line stand another hour get thru immigration almost miss flight layover 354 hour still run plane board people work airport helpful ineffective airport need get people work,Negative
"Get out of the plane, hand over everything that security wants for themselves, and get back on the plane.",get plane hand everything security want get back plane,Negative
The road from the apron to the airport is too far.,road apron airport far,Negative
"Looks like a lot of construction going on in the terminal, that makes it feel chaotic. But overall it is a smooth experience from gate to taxi.",look like lot construction go terminal make feel chaotic overall smooth experience gate taxi,Negative
"Unfortunately, my experience at Kuala Lumpur International Airport was disappointing. Here are a few points that struck me negatively: 1. Strict baggage control, but not consistent: My hand luggage was accurately weighed, and even though it was only slightly over 7kg, I was told to pay extra. At the same time, the Malaysian woman in front of me, weighing almost 8 kg, was allowed to walk away - that felt unfair. 2. Poor Signage: Some gates had no numbers, which was extremely confusing. It was difficult to find the right path. 3. Lack of seating: There were no seats at the gate, which made the wait unnecessarily tiring. 4. Inadequate Toilets: The women's restrooms were a mess - I waited in line for over 30 minutes and when it was finally my turn, they were dirty. The men apparently had enough toilets as there were no queues. Unfortunately, the airport was the worst I've ever been to.",unfortunately experience kuala lumpur international airport disappoint point strike negatively 1 strict baggage control consistent hand luggage accurately weigh even though slightly 7kg tell pay extra time malaysian woman front weigh almost 8 kg allow walk away felt unfair 2 poor signage gate number extremely confuse difficult find right path 3 lack seat seat gate make wait unnecessarily tire 4 inadequate toilet womens restroom mess wait line 30 minute finally turn dirty men apparently enough toilet queue unfortunately airport bad ive ever,Negative
"The first time I came here, I felt very bad. I didnt expect to enter the country because I didnt speak English very well. I was called a fool by the immigration staff at the airport, and the staff was very impatient. I thought it was such a solution, but they didnt help us solve it in the end. They just asked us to leave and go somewhere else. The attitude was very bad and unfriendly.",first time come felt bad didnt expect enter country didnt speak english well call fool immigration staff airport staff impatient think solution didnt help u solve end ask u leave go somewhere else attitude bad unfriendly,Negative
Non cooperative attitude.,non cooperative attitude,Negative
Coming back to KLIA 1 after so long. As usual very crowded,come back 1 long usual crowd,Negative
"Most idiotic system I've ever heard of which warrants this airport getting a one star from me. So you go through initial security and I totally understand why you aren't allowed liquids. However, after doing initial security, we filled our refillable water bottles at the designated stations in the airport outside of our gate and then had to go through a second round of security to get into the waiting area for our gate. We were made to empty out our water bottles........no justification. This is the most stupid thing I've ever heard. You might say oh but you can get just get little water bottles on the airplane but what's the point if I've got 1L of water already on me. Way more convenient, not to mention better for the environment by avoiding unnecessary plastic. KL Airport run by total idiots.",idiotic system ive ever heard warrant airport get one star go initial security totally understand arent allow liquid however initial security fill refillable water bottle designated station airport outside gate go second round security get wait area gate make empty water bottlesno justification stupid thing ive ever hear might say oh get get little water bottle airplane whats point ive get 1l water already way convenient mention good environment avoid unnecessary plastic kl airport run total idiot,Negative
The airport with the worst service during my travels..the staff are not friendly and do not solve problems quickly.,airport bad service travelsthe staff friendly solve problem quickly,Negative
"My departures gate changed 4 times in 3 hours, and the disorder of the gate number very complicated things in that matter",departure gate change 4 time 3 hour disorder gate number complicated thing matter,Negative
"You lose a fully paid vacation day, including a taxi, because their system reports errors in your passport or visa that don't exist. It's a shame I've never seen before. The number of people who have encountered these ""errors"" and waited HOURS in line without the opportunity to use the bathroom or buy food or drinks makes you realize the problem isn't with the travelers, but with the airport. Extremely long lines with only one person checking passports. A disgrace.",lose fully pay vacation day include taxi system report error passport visa dont exist shame ive never see number people encounter error wait hour line without opportunity use bathroom buy food drink make realize problem isnt traveler airport extremely long line one person check passport disgrace,Negative
"I've used it several times for travel/transit. For some reason, liquids are confiscated at the boarding gate (just before boarding the plane) instead of at the first gate! ! Drinks and liquids purchased at the airport, as well as water filled at water points at the airport, will also be confiscated! Are you going to take care of me? That's why I can't bring drinking water on the plane...that's weird! Take care~",ive use several time traveltransit reason liquid confiscate board gate board plane instead first gate drink liquid purchase airport well water fill water point airport also confiscate go take care thats cant bring drinking water planethats weird take care,Negative
I hate it why do I have to even say this customer service is bad like no business they are treating us like we are slaves. Staffs so rude and won't let me even go to the lounge as when I wanted to check in she shouted on me like I killed her family and she took my passport and she hurt my hand injury in the plane is bad they didn't even do anything.,hate even say customer service bad like business treat u like slaves staff rude wont let even go lounge want check shout like kill family take passport hurt hand injury plane bad didnt even anything,Negative
"Since the sale of cigarettes and tobacco is legal in the country, there should be smoking areas at every Terminal. Smoking is Legal and it would be a good thing, in 2025, not to make smokers who travel feel ghettoized. You cannot make them spend hours in front of the gates without ensuring a smoking area. It is embarrassing for a world capital. Those who smoke in designated areas do not cause any harm to non-smokers: following and pursuing these embarrassing policies is only harmful.",since sale cigarette tobacco legal country smoke area every terminal smoking legal would good thing 2025 make smoker travel feel ghettoize make spend hour front gate without ensure smoking area embarrass world capital smoke designate area cause harm nonsmoker follow pursue embarrass policy harmful,Negative
"Inside KLIA airport, there are no toilets at the last gate for departing passengers and there are very limited seats in front of the gate. Passengers have to stand for a very long time to enter the last gate.",inside airport toilet last gate depart passenger limited seat front gate passenger stand long time enter last gate,Negative
"The shopping area here is great, with plenty of optionsespecially restaurants. However, the transit experience could be much more comfortable. After arriving from one flight, passengers who need to connect must exit the terminal, take a shuttle bus, and endure a long walk. Not the most traveler-friendly setup. As for the immigration officers lets just say the atmosphere felt quite intimidating.",shopping area great plenty optionsespecially restaurant however transit experience could much comfortable arrive one flight passenger need connect must exit terminal take shuttle bus endure long walk travelerfriendly setup immigration officer let say atmosphere felt quite intimidate,Negative
"Terrible in everything. Baggage management simply embarrassing. From the moment you leave the main airline like Emirates and end up in the hands of their Air Asia the goal becomes to make you pay for extra baggage, do self check in, board your own baggage and they are also rude. Last trip to Asia",terrible everything baggage management simply embarrass moment leave main airline like emirate end hand air asia goal become make pay extra baggage self check board baggage also rude last trip asia,Negative
"Exactly about a week ago, when I was returning to my country from KLIA 1, I had an unpleasant experience with the X-ray staff at the gate, who had no manners! During immigration and security checks, I threw away my little brother's water bottle because I knew that international flights don't allow drinks exceeding 100ml. After that, I saw a water dispenser before entering the gate. I filled it up there... But as I was about to enter the gate, the unmannered officer yelled at me and told me to throw the water in the toilet, using a rude tone! And even worse, when I threw the water in the toilet, my mother was also scolded by the X-ray staff... Crazy, they really have no manners towards their elders! If drinks aren't allowed in the waiting room, please provide them in the waiting room... Are your airport staff going to take responsibility if we get thirsty? The airport has the worst and strangest regulations I've ever visited... So different from Singapore, Indonesia, and Thailand! Euwwwwww",exactly week ago return country 1 unpleasant experience xray staff gate manner immigration security check throw away little brother water bottle know international flight dont allow drink exceed 100ml saw water dispenser enter gate fill enter gate unmannered officer yell tell throw water toilet use rude tone even bad throw water toilet mother also scold xray staff crazy really manner towards elder drink arent allow waiting room please provide waiting room airport staff go take responsibility get thirsty airport bad strange regulation ive ever visit different singapore indonesia thailand euwwwwww,Negative
"Unfortunately, there are still no 0 stars on Google! Most of the staff were very friendly, only the ladies at C15 for boarding today's TK0061 were the worst! Rude and mean. The fact that a proper security check only takes place immediately before entering the gate is completely pointless and simply stupid. There are no longer any opportunities to refill your water bottle or buy anything for a long flight at the gate itself. Whoever came up with this system will hopefully pay for it. Especially since it's many times more expensive to have staff and equipment at every gate. Regards!",unfortunately still 0 star google staff friendly lady c15 board today tk0061 bad rude mean fact proper security check take place immediately enter gate completely pointless simply stupid longer opportunity refill water bottle buy anything long flight gate whoever come system hopefully pay especially since many time expensive staff equipment every gate regard,Negative
"KLIA2 is by far the most disappointing terminal, starting with the immigration service, which completely kills any desire to ever return here. Weve been to Malaysia many times, arriving through KLIA, but weve never seen such chaos. Over 300 people in line, and only 8 counters open - and working incredibly slowly! We waited in line for 1.5 (!) hours. Whats the point of filling out the online arrival form if immigration officers still spend 4-7 minutes on each tourist? After standing in line for over 1.5 hours and watching how the officers worked, we were left very disappointed. Even worse was how immigration officers treated Asian travelers with darker skin - their gestures were so disrespectful, it was truly unpleasant to witness. Ah, yes! And before departure immigration process took 30 minutes at 6:30am. A reasonable processing time at passenger-respecting airports around the world is 1520 minutes. But not at KLIA2 - here, the staff act like theyre doing you a favor by letting you enter or leave the country. What a shame!",klia2 far disappointing terminal start immigration service completely kill desire ever return weve malaysia many time arrive weve never see chaos 300 people line 8 counter open work incredibly slowly wait line 15 hour whats point fill online arrival form immigration officer still spend 47 minute tourist stand line 15 hour watch officer work leave disappointed even bad immigration officer treat asian traveler darker skin gesture disrespectful truly unpleasant witness ah yes departure immigration process take 30 minute 630am reasonable processing time passengerrespecting airport around world 1520 minute klia2 staff act like theyre favor let enter leave country shame,Negative
"Layout is confusing and staff are horrible, especially the immigration staff. We were directed to join the family line, only to be told by the immigration officer in the rudest manner, that only one adult could accompany the baby, and the rest of the family had to queue up normally. I have never experienced this at any airport before, and it happened twice! It's no wonder that tourists from the Gulf no longer like to visit Malaysia if this is how you treat guests.",layout confuse staff horrible especially immigration staff direct join family line tell immigration officer rudest manner one adult could accompany baby rest family queue normally never experience airport happen twice wonder tourists gulf longer like visit malaysia treat guest,Negative
