TEXT,SENTIMENT
"The roads, around KLIA buildings, are lighted very dim. The exits and entrances to building parking ramp are poorly lighted.",Negative
"My flight was delayed by 2 hours and that wasnt even the worst part. I missed my flight because they didnt announce that the plane was leaving (i was at 7/11 eating because i was hungry) so when i went back to check, there was no one there.",Negative
"So bad 1 people check in 30 minutes
The staff works very slowly
Made me miss my flight and unable to check in even though I went to check in 2 hours before",Negative
"It is a world famous airport, and has multiple connectivity to go to different countries. But very normal( or less) facilities and without Money Transfer store at L10-L20 gates. I was very disappointed with these at these gates. There should be improvement.",Negative
inside are allllll ok but the outside sucks especially the arrival hall. some cars parked without drivers on the left lane and causing traffic jams to the other two lanes. please do something to cars that park on the left lane. so selfish. tolong la tunggu kat tempat lain dulu. security only ask to go foward to the other two lane but did not ask left lane to move foward.  👎🏻👎🏻👎🏻,Negative
"not convenient to collect luggage if travelers are at the international flight building, as travelers have to take train to domestic flight building to retrieve their luggages which felt wasting of time, it should have a better solution and design to combine for both the domestic and international travelers.",Negative
"A five-hour break costs 1,700 yuan, so I’d better just eat a 23-yuan bowl of instant noodles.
The cannellini noodles and fried rice inside are both very hard, so don’t be offended.
Only the curry chicken with white rice is the best, the others are just fine.

MYR 245 is equal to NT$1,716, and MYR 1 is equal to NT$7.
#We have to wait until 9am for the flight✈️
# unified pork noodles #Malaysia #Kuala Lumpur International Airport
#环亚 VIP ROOM #中国Trust Xiong Dading Ji Card 2 people free
2025-02-16 (Sunday) 17:50～22:05",Negative
To Entrance to Boarding Gate you have to walk a lot..And A bit difficult to find ways,Negative
"I had the worst experience in this airport for travelling.  This looks fancy but very old school.
Restaurant not enough air con at night time. Sweating when eating

Very confusing direction or procedure. I was required to transferred here from overseas to KKIA (domestic) i was not required to take my lugguage while I gone through the customs here. Then walked all the way from international to domestic from the international building. But then I was required to ""enter"" the Malaysia border again while I was in KKIA (I took domestic) with my checked in luggage and scanning my index fingers
When i went back from KK to KL, I only required to go thru the custom once at KKIA. I was expecting to go thru the domestic building so I can get some local products.
Then my hand luggage was required to go thru x ray just at the gate. My flask was full of water. But it was not required to empty out. And no airline staff at the gate just b4 boarding to check the boarding priority.

As I thought I can walk thru, so I followed the sign. I realised I couldn't walk thru after 5 mins later. Then I walked back and realised the sign was directed incorrectly neat gate G section. One pointing left and the other sign pointed right. I saw few customers including aircrew staff were confused and didn't know which way to go.

Further, the staff was staring at me while was brusing teeth at the washroom at 6am. I realised she's waiting to clean my spot after I finished brushing. She either come back rather than just staring at me. I felt so unconfmy and I was the only passenger there.

I went other less modern airport like ho chi Ming city or in Istanbul. Where still have better experience than in Malaysia",Negative
"I would like to give 0 out of 5 stars but cannot give to it.The toilet staff in KLIA 1(malay lady) besides costa coffee make me feel mad.A cleaner there,Hope that can fired she.I am a travelers and when I using toilet she mcm marah marah tak mau kerja.if u don't want to work better u stay at home right?",Negative
"We went to terminal 2 to get our flights, very disappointed with Air Asia, they weren’t helpful at all! Despite having kids, still we were made to wait for so much time to check in our luggage, they kept directing us towards self check in but that wasn’t working! When we addressed our issue to the staffs they weren’t friendly , we were made to wait for more than 45 mins just to check in 3 luggages! It wasn’t crowded also! Also they charged so much if there is extra luggage! Very dissatisfied and Very poor Organization! Despite reaching the airport very much in advance, because of the inefficient Air Asia team, we were so delayed. Finally by the time we cleared immigration and security checks we barely had 15 mins before they closed the gates, we literally had to run all the way to bay L16 while carrying our kids and carry-on bags to catch the flight. Please don’t book Air Asia if you happen to have extra luggage, better choose it only if you have carry-on bags less than 7kg, totally not kid friendly and not customer friendly as well!",Negative
"It's a gigantic airport, but unlike other mega-airports, it's not easy to find your way around. Fortunately, the police and airport staff are very friendly and helpful. But you have to be prepared for time and take things slowly. To board a domestic flight from an international airport, it took us almost an hour, including the transfer (by bus), then the elevator, then reprinting the boarding pass (because the previous one no longer worked), then finding the domestic flight exit, then going through carry-on baggage control (you have to remove all electronic devices from your backpack, unlike at other airports where they are checked inside your luggage). In a word, take your time and take your time!",Negative
"Actually, it shouldn't even get a star. The immigration queue is very long. Only a few counters are open and very slow. Almost missed the flight even though there was another hour before boarding time. The airport layout is also terrible and complicated.

On the way there, I had to take a bus from the terminal building in the middle of the airport to the main passenger building. The wait was long and the walk was very far.

The bathroom was dirty and smelled bad. The baggage check point in front of the gate was slow and unorganized.",Negative
"Exhausting.. you need to have at least a year of airport work experience to just transit through this airport. It took nearly 2 hrs from landing to sitting down at our gate. So much is automated, and very few staff members to help, so when something goes wrong - like when the self bag-drop off machine stops working.. with one of our bags halfway through the conveyor, we were left for ages, not knowing what to do. So many more hurdles to jump such as filling in an MDAC, yes, we were asked to fill it in on-line at Siem Reap, but thought it couldn't possibly be for us as so many 'mandatory' boxes were irrelevant to us. However, at the airport, they insisted we filled it in with a bunch of false information, i.e. the address where we would be staying (had to put in an they address provided.. which was the airport's address) a waste of time, as we felt we could miss our connecting flight. We also had to create our own baggage tags, then TWO separate baggage screenings - so unnecessary. So many options of queues without clear instructions, so many people, so much walking - it just seemed chaotic. It's not my favourite airport. If we weren't so tired.. we had been travelling all day, I would have said a pretty average airport.",Negative
To be very frank. I just came from Singapore airport and back to malaysia. It is heaven and hell comparison. Why the management took for long to upgrade the train? I paid premier for MAS and I got s*** service from start to the end. I gotta wait 30 mins for my bus ride to the main terminal. What a joke.,Negative
"Average airport, but pricey. Coffee, sandwich, travel necessities - be prepared to pay more. 2 coffees plus 2 sandwiches equaled almost RM120. At least there are some dispensers for free water.

Boarding is very slow due to extra security checks at the gates.

Plan at least another 30-40 minutes (the difference between the boarding time on your ticket vs the actual boarding time) for this second and very slow check.

Once you’re through this gate security check, there’s a waiting area with no toilets and no water. So please take care is your needs BEFORE queueing for the gate security check.

Second, the gate security check is hyper sensitive. My wife’s passport - which she held in her hand - triggered it. They make you take off shoes and belts if those contain small metal bits. My empty laptop backpack went through the scanner twice and I have no idea why… 🤷🏼‍♂️",Negative
Who knew that you have to take a bus to C gates    give yourself enough time,Negative
It is usually tiring to transfer you by bus from one hall to another and you may make a mistake and you will be back outside because there is only one and two,Negative
"(Emerites specifically from KL).. KL is a beautiful airport, super clean, very convenient with English signs everywhere- with many options for drink and food land side before security - coffee, mcdonald’s, taco bell and high end malaysian restaurants. NOTE: the few Emirates flights that leave from here, despite what you may read, have NO bag drop, have no kiosks to print your bag tag or boarding pass, and if you are checking a bag you have to stand in the forever line with people going to Dubai with 5 giant suitcases. Not having an Emirates bag drop or kiosk is ridiculous. NOTE: Terminal C gates - the entire terminal stinks of cigarettes and the none care security has for looking at carry on’s is terrifying. Many didn’t even look at the screens, they were too busy dillydallying.",Negative
Smoking area only in building C.,Negative
You go through 2 securities and end up in area that says duty free. Bought 4 waters thinking i could bring on the plane (which were overpriced) and just before the gate there is another security and they say your not allowed to bring water through. Then you end up in a area with 1-2 shops with little option to buy drinks.,Negative
"Honestly, if I could give this airport a -1, I would. Very slow, very disorganised, awful attitude. Very lazy. Very rude and disrespectful.  Will never return, nor use such airlines again! Absolutely disgusting!",Negative
Cannot cope the capacity,Negative
"Beautiful but very far from the city, which you can reach by express train (about €11) or by taxi/grab (there is no Uber in Malaysia)",Negative
"This was our arrival airport in Malaysia from Paris and our departure airport for Langkawi. It's about an hour from downtown Kuala Lumpur.
I find that there are some areas where there aren't enough flight display screens.
There aren't enough seats/chairs in the boarding areas, which makes it crowded.
Everything is done differently from other well-known airports, and not for the better.",Negative
Good internet connection but very limited and friendly staff and there is limited seats for the people to sit. Sorry but an international airport should have enought seats,Negative
Not enough chairs near the gates before security check. Food is unusually expensive and of so-so quality.,Negative
Have to take shuttle bus to get to my gate. No water dispenser after security gate. Have to wait until you get on the plane.,Negative
"This airport needs water dispensers after every security screening. If you must insist on screening at the gate, you must allow people to access free and drinkable water.
I have been coming here for 20 years and still yet to see this small uplift.",Negative
"Worst airport I’ve ever been at. When I landed I stood in line for 1,5 hours at immigration!! Landed in terminal 2 and my next flight was from terminal 1, the shuttle bus took 20-30 minutes. After I checked in for my next line I had to stand another hour  to get thru immigration??? I almost missed my flight, my layover was 3,5-4 hours and I still had to run to the plane when it was boarding!! People working at the airport are not helpful. Very ineffective airport!!
They need to get more people at work.",Negative
"Get out of the plane, hand over everything that security wants for themselves, and get back on the plane.",Negative
The road from the apron to the airport is too far.,Negative
"Looks like a lot of construction going on in the terminal, that makes it feel chaotic. But overall it is a smooth experience from gate to taxi.",Negative
"Unfortunately, my experience at Kuala Lumpur International Airport was disappointing. Here are a few points that struck me negatively:
1. Strict baggage control, but not consistent:
My hand luggage was accurately weighed, and even though it was only slightly over 7kg, I was told to pay extra. At the same time, the Malaysian woman in front of me, weighing almost 8 kg, was allowed to walk away - that felt unfair.
2. Poor Signage:
Some gates had no numbers, which was extremely confusing. It was difficult to find the right path.
3. Lack of seating:
There were no seats at the gate, which made the wait unnecessarily tiring.
4. Inadequate Toilets:
The women's restrooms were a mess - I waited in line for over 30 minutes and when it was finally my turn, they were dirty. The men apparently had enough toilets as there were no queues.

Unfortunately, the airport was the worst I've ever been to.",Negative
"The first time I came here, I felt very bad. I didn’t expect to enter the country because I didn’t speak English very well. I was called a fool by the immigration staff at the airport, and the staff was very impatient. I thought it was such a solution, but they didn’t help us solve it in the end. They just asked us to leave and go somewhere else. The attitude was very bad and unfriendly.",Negative
Non cooperative attitude.,Negative
Coming back to KLIA 1 after so long. As usual very crowded,Negative
"Most idiotic system I've ever heard of which warrants this airport getting a one star from me. So you go through initial security and I totally understand why you aren't allowed liquids. However, after doing initial security, we filled our refillable water bottles at the designated stations in the airport outside of our gate and then had to go through a second round of security to get into the waiting area for our gate. We were made to empty out our water bottles........no justification. This is the most stupid thing I've ever heard. You might say oh but you can get just get little water bottles on the airplane but what's the point if I've got 1L of water already on me. Way more convenient, not to mention better for the environment by avoiding unnecessary plastic. KL Airport run by total idiots.",Negative
The airport with the worst service during my travels..the staff are not friendly and do not solve problems quickly.,Negative
"My departures gate changed 4 times in 3 hours, and the disorder of the gate number very complicated things in that matter",Negative
"You lose a fully paid vacation day, including a taxi, because their system reports errors in your passport or visa that don't exist. It's a shame I've never seen before. The number of people who have encountered these ""errors"" and waited HOURS in line without the opportunity to use the bathroom or buy food or drinks makes you realize the problem isn't with the travelers, but with the airport. Extremely long lines with only one person checking passports.
A disgrace.",Negative
"I've used it several times for travel/transit.
For some reason, liquids are confiscated at the boarding gate (just before boarding the plane) instead of at the first gate! ! Drinks and liquids purchased at the airport, as well as water filled at water points at the airport, will also be confiscated! Are you going to take care of me? 😒That's why I can't bring drinking water on the plane...that's weird! 🙂‍↔️
Take care~😇",Negative
I hate it why do I have to even say this customer service is bad like no business they are treating us like we are slaves. Staffs so rude and won't let me even go to the lounge as when I wanted to check in she shouted on me like I killed her family and she took my passport and she hurt my hand injury in the plane is bad they didn't even do anything.,Negative
"Since the sale of cigarettes and tobacco is legal in the country, there should be smoking areas at every Terminal. Smoking is Legal and it would be a good thing, in 2025, not to make smokers who travel feel ghettoized. You cannot make them spend hours in front of the gates without ensuring a smoking area. It is embarrassing for a world capital. Those who smoke in designated areas do not cause any harm to non-smokers: following and pursuing these embarrassing policies is only harmful.",Negative
"Inside KLIA airport, there are no toilets at the last gate for departing passengers and there are very limited seats in front of the gate. Passengers have to stand for a very long time to enter the last gate.",Negative
"The shopping area here is great, with plenty of options—especially restaurants. However, the transit experience could be much more comfortable. After arriving from one flight, passengers who need to connect must exit the terminal, take a shuttle bus, and endure a long walk. Not the most traveler-friendly setup. As for the immigration officers… let’s just say the atmosphere felt quite intimidating.",Negative
Poor immigration,Negative
"Terrible in everything. Baggage management simply embarrassing. From the moment you leave the main airline like Emirates and end up in the hands of their Air Asia the goal becomes to make you pay for extra baggage, do self check in, board your own baggage and they are also rude.
Last trip to Asia",Negative
"Exactly about a week ago, when I was returning to my country from KLIA 1, I had an unpleasant experience with the X-ray staff at the gate, who had no manners!

During immigration and security checks, I threw away my little brother's water bottle because I knew that international flights don't allow drinks exceeding 100ml.

After that, I saw a water dispenser before entering the gate.
I filled it up there...
But as I was about to enter the gate, the unmannered officer yelled at me and told me to throw the water in the toilet, using a rude tone!

And even worse, when I threw the water in the toilet, my mother was also scolded by the X-ray staff... Crazy, they really have no manners towards their elders!

If drinks aren't allowed in the waiting room, please provide them in the waiting room... Are your airport staff going to take responsibility if we get thirsty? The airport has the worst and strangest regulations I've ever visited... So different from Singapore, Indonesia, and Thailand! Euwwwwww🙄🙄",Negative
"Unfortunately, there are still no 0 stars on Google!

Most of the staff were very friendly, only the ladies at C15 for boarding today's TK0061 were the worst! Rude and mean.

The fact that a proper security check only takes place immediately before entering the gate is completely pointless and simply stupid. There are no longer any opportunities to refill your water bottle or buy anything for a long flight at the gate itself.

Whoever came up with this system will hopefully pay for it. Especially since it's many times more expensive to have staff and equipment at every gate.

Regards!",Negative
"KLIA2 is by far the most disappointing terminal, starting with the immigration service, which completely kills any desire to ever return here.
We’ve been to Malaysia many times, arriving through KLIA, but we’ve never seen such chaos. Over 300 people in line, and only 8 counters open - and working incredibly slowly! We waited in line for 1.5 (!) hours.
What’s the point of filling out the online arrival form if immigration officers still spend 4-7 minutes on each tourist?
After standing in line for over 1.5 hours and watching how the officers worked, we were left very disappointed. Even worse was how immigration officers treated Asian travelers with darker skin - their gestures were so disrespectful, it was truly unpleasant to witness.

Ah, yes! And before departure immigration process took 30 minutes at 6:30am.

A reasonable processing time at passenger-respecting airports around the world is 15–20 minutes.
But not at KLIA2 - here, the staff act like they’re doing you a favor by letting you enter or leave the country.
What a shame!",Negative
"Layout is confusing and staff are horrible, especially the immigration staff. We were directed to join the family line, only to be told by the immigration officer in the rudest manner, that only one adult could accompany the baby, and the rest of the family had to queue up normally. I have never experienced this at any airport before, and it happened twice! It's no wonder that tourists from the Gulf no longer like to visit Malaysia if this is how you treat guests.",Negative
"Horrible experience!!!  This is the worst airport I have been to. There is no seating area before immigration. The way the flight schedule is displayed is not user friendly. Announced in the terminal 2 building are inaudible, the flight schedule is so dispersed and no power outlets for chatting only USB type A. Airline kiosk staff is sassy . I missed my flight because of severe logistic issues. Had to stay is all night at the airport to catch h the next flight. No flights schedule displayed at  terminal H10 . It was like a ghost town. I never want to come here again. I was at the airport from 2:00pm and have to leave at 7:04 am just because of poor planning and communication.",Negative
"It's still a great airport that meet the customers demand, but there are some run down facility and hardware, such as rugged carpet in the arrival, some run down toilets with dim lamps. However the immigration section is seems to improve",Negative
Too bad there's no autogate,Negative
"This is Malaysia's largest airport and main gateway for overseas visitors to enter Malaysia. At peak times, be prepared to wait a very long time for your checked in luggage to come out. The aerotrain connecting the terminals is still out of order.",Negative
"Extremely hot and poor ventilation. Definitely feels like a developing nation's airport. Somehow I thought it got better, once Malaysian has proven the fact that we are consistently continuing from one poor management to another poor management. Big guys involved just ask WIIFM, while management are of similar mentality.",Negative
Unclear markings,Negative
"They have the worst airport ground crew staff quality, particularly the staff in charge of the flight to Danang at Gate 2 on 26 Sept 2025 abiut 11:00 am. All three Malay female staff shouted at passengers as if the passengers are prisoners.",Negative
Airport look worn down.,Negative
Immigration is the worst. The slowest in the world I think.,Negative
"My recent experience at Kuala Lumpur International Airport (KLIA) was nothing short of frustrating. From the airline to the moment I arrived, the service was abysmally slow, and the staff was unhelpful.

The immigration officers are rude and disrespectful, making an already stressful experience far worse. To be honest, it felt like the staff were completely uninterested in their job, and some even seemed to resent being there.

When my family arrived at the immigration counter, the officer seemed confused when we asked whether he wanted to see our MDAC or passports first. He glanced at our passports and then repeatedly said, ""You don’t look British."" When we asked why he was being rude, he flew into a rage and yelled, ""What do you mean I am being rude! You’re not welcome here. Go back to where you came from.""

At first, I thought I could be overreacting, but as the situation unfolded, it made me wonder if this could be a case of racial bias, especially toward darker-skinned people. It’s hard not to perceive this as racism when the treatment felt so harsh and unwarranted. But then, a white female tourist recounted her own experience, and she was visibly shaken, nearly on the verge of tears. She too had been yelled at and bullied by the Malaysian airport staff. To make matters worse, I also witnessed an Indian woman being denied entry to the bathroom just to retrieve her bag. After numerous attempts she managed to get them back.

This made me realize that it wasn’t just about skin colour—though it was hard not to make that connection—but rather a broader issue with the staff’s attitude toward tourist and travellers. The customer service here has drastically declined. This used to be a place where visitors were welcomed with warmth and respect, but unfortunately, that’s no longer the case. It’s a shame to see such a decline.

In Malaysia, government jobs, including those at airports prioritize ethnic Malays over Indian and Chinese Malays. As a result, some government positions, such as immigration officers or airport staff, may be filled based on ethnicity rather than merit or qualifications. Due to this, individuals in these roles might lack the necessary qualifications or passion for the job, which can sometimes be reflected in their job performance and attitude.

What really stood out was the slogan displayed upon arrival: “We hope you’ve enjoyed our Malaysian Hospitality.” Frankly, this felt more like an empty promise than a reflection of the experience I had. A service should speak for itself, but in this case, it was clear that overcompensating with slogans only highlights the gap between what is advertised and what is actually delivered.

Given this experience, I will never fly with Malaysian Airlines or visit Malaysia again and I certainly won't be encouraging my friends or family to visit. Avoid countries that do not respect and appreciate tourist coming to help their economy!",Negative
"After 2 weeks of trip in Malaysia, I headed to KLIA terminal 2 for my next destination.

Due to the unexpected flight delay, I had to wait 7 hours, outside of security check points. I was quite surprised that this big international airport doesn’t have a single seat for public who have to wait for flights. Only way to find seats were eating or drinking in the restaurant. It was very disappointing experience.

I wish KLIA terminal 2 make seats for public outside of the security check points, so tourists who couldn't check-in yet can take some break before they check-in.",Negative
"I have nothing good to say about Kuala Lumpur. Never recommend going through this airport. We had a 2 hour lay over coming back from Thailand to Perth. The plane left 1 hour early no emails no messages nothing to let us no. We go to the terminal no one was there. I then asked 4 different security, workers at the airport for help even the ones that could speak English didn’t want to help us at all. We walk around with tears for more than an hour trying to find where to go. Instead they sent us to the wrong area told us x1",Negative
"The route to baggage claim upon arrival is quite confusing. When leaving the country, your baggage will be inspected twice, so it's a good idea to keep this in mind and hurry up a bit.",Negative
Ordinary airport,Negative
Electronic passport control on arrival doesn't work properly for international flights arrivals. Result in constant ques in the airport in immigration 2 hours standing in a que. I have noticed that it is working on arraval from Airasia terminal only.,Negative
"Well, this airport is so outdated and crappy. All the staff are very slow, I barely missed my flight because of them. They are just like lazy dogs or hate their jobs. They should be trained to be more efficient.",Negative
"Perhaps KL staff management could explain why passengers transferring who've already been through security at Heathrow airport need to go through additional security at the gate. And if you're going to take water off people, why don't you at least provide water at the gate so people can refill their bottles. Have you tried a 13-hour flight with no water? Try being a customer on your own service and see how it feels. Customer experience level 0.",Negative
"This is the worst airport in the world. The check-in system often crashes, the staff are arrogant, and many security channels are not working. Due to the backwardness of the airport, there are frequent delays. However, AirAsia still takes off. I suspect it's really a primitive tribe.",Negative
"Dear Airport Authority,

I am writing to formally express my disappointment regarding my experience at KLIA 2 on 28 January 2025 at 3:38 AM while waiting for the departure hall to open.

One of your customer service staff (a Chinese male) informed us that the hall would open at 3:00 AM. However, when the hall was still closed at 3:10 AM, we asked another staff member (a Malay female), who then told us it would open at 4:00 AM. When we mentioned that her colleague had stated an earlier opening time, her response was:

""Then you ikut apa yang dia cakap lah.""

When we further inquired about the actual opening time, she dismissively said:

""Then you tunggu hall buka lah.""

I find this attitude highly unprofessional and unacceptable, especially for airport staff who are expected to assist passengers courteously. Providing inconsistent information and responding rudely to simple inquiries only creates confusion and frustration.

I urge you to look into this matter and ensure that staff are properly trained to handle customer queries in a respectful and professional manner. Additionally, clear and accurate information regarding the departure hall opening time should be provided to avoid unnecessary inconvenience for passengers.

I appreciate your prompt attention to this issue and look forward to your response.",Negative
"This airport made me never want to come back to Malaysia. Who designed this place?!

First, the walk from the plane to immigration and baggage claim was unbelievably long. I’ve traveled through many large airports, but I’ve never had to walk this much just to reach my luggage. I could overlook that… but what came next was even worse.

After collecting our bags and passing immigration, we were forced to walk through (GET THIS!) A MALL to get to the exit. Yes, a literal mall where every airport in the world you'd be checking your transportation to finally leave. After a long flight, the last thing anyone wants is to be dragged through a maze of stores just to leave the airport. It felt like a cash grab, not a travel hub.

We finally made it out and were relieved to see Grab was available (we’re used to it from Thailand). But when we booked a ride, the wait time was 35 minutes! There was a huge, overcrowded Grab waiting area with screens showing incoming car plates, clearly, demand was way beyond what the airport could handle.

Tired and frustrated, we gave up on Grab, hoping to catch a bus instead. But we weren’t allowed to buy tickets until exactly 12 AM, which was also the listed departure time of the bus, because it's too late now to buy tickets (15 minutes ahead). We were told the bus would leave even after 12. The whole thing felt disorganized and unclear and the wait time seemed same as the Grab and the destination station is not even close to the hotel.

In the end, we paid over double the Grab fare to take a regular taxi, just to get the hell out of there.

Oh and did I mention that the airport wifi is not available once you finish immigration? I had such a hard time to book the Grab and check information and chat with my airbnb host because there was no wifi after immigration, because there's a freakin' mall between the airport and the exits!!!

This airport is a logistical mess and a terrible first impression of Malaysia. I've never thought an airport would affect my will to visit a country but here we are.",Negative
"Overall ok.

I don't know if I can't see it, but I'm at the Gate B4 domestic departure, and I can't find a rubbish bin to throw my trash. I see a few rubbish laying around, I assume they also can't find a rubbish bin. Please have this in all your gates, and all around the airport. People don't want to litter, but there's not enough rubbish bin around. Will update more.",Negative
"Everything is nice and new, but they make you throw away any liquid at the gate just before boarding the plane.
Disgraceful.",Negative
Staff don’t have a clue and it’s not particularly clean,Negative
Terrible toilets condition.  Long que at immigration,Negative
"I rarely give 1-star reviews, but this airport truly deserves it. The boarding process is poor. The security machines are outdated and the taxis are old and dirty, showing no signs of improvement in decades. Even the so-called premium taxis are worse than budget taxis in many other countries. After a post-COVID renovation, they still use manual water taps. Isn’t contactless supposed to matter after COVID? Hard to believe this place gets 4 or 5 stars.",Negative
The transit train is still not ready. The bus driver who drove between satellite and main terminal are reckless.,Negative
"Very large airport. Efficient check-in, immigration and security clearance. However the waiting area is the worst compared to other international airports I the region. There are not enough seats and restrooms near the gates after security. It doesn't seem they want tourists to come back",Negative
"Immigration took a long time, the queue was very long, the connection was intermittent, the officers were mean and angry, it was not clear, the gate took a long time to open, there were very few seats, many people sat on the floor, very inappropriate, very disturbing to my activities and other people's activities, the connection was very bad, often disconnected, everything is complete at this airport, really annoying",Negative
"It's a gigantic airport, but unlike other mega-airports, it's not easy to find your way around. Fortunately, the police and airport staff are very friendly and helpful. But you have to be prepared for time and take things slowly. To board a domestic flight from an international airport, it took us almost an hour, including the transfer (by bus), then the elevator, then reprinting the boarding pass (because the previous one no longer worked), then finding the domestic flight exit, then going through carry-on baggage control (you have to remove all electronic devices from your backpack, unlike at other airports where they are checked inside your luggage). In a word, take your time and take your time!",Negative
If u fly domestic u will have difficulty to refill water at KLIA2,Negative
"Not enough counter, always long queue to check in.",Negative
"Very badly organised, you go trough security twice and ac barely working. People cutting in lines all the time. Of course not enough place to sit in gate, hard to fin a charging spot and you are greeted by rude Air Asia staff enforcing payment for every possible gram beyond limit.",Negative
"1. Airport (specially departure area) has limited food options/vendors, resulting in high prices of available food items compared to market.
2. Flights of Air Asia and Gatik Airlines (Malindo) intend delayed without timely inform8ng passengers resulting in un-necessary waiting time",Negative
"An irritating airport experience at KLIA1. Making people pour away water due to security right at the gate, then providing no refill stations after security is ridiculous.

The whole terminal experience is irritating from start to finish.

Provide refil taps.",Negative
"The airport is constantly under construction, but it's easy to navigate, and the staff is helpful. However, the immigration counters are very meticulous, and it sometimes takes up to an hour to be admitted. Unfortunately, the digital arrival form, which must be completed prior to entry, doesn't speed up the process at the counters.",Negative
